customerID,recency,frequency,monetary,R_score,F_score,M_score,RFM,cluster
ALFKI,28,6,4273.0,3,2,2,322,1
ANATR,64,4,1402.95,2,1,1,211,1
ANTON,99,7,7023.9775,1,2,3,123,1
AROUT,27,13,13390.65,3,4,4,344,0
BERGS,64,18,24927.5775,2,5,5,255,0
BLAUS,8,7,3239.8,5,2,2,522,1
BLONP,115,11,18534.08,1,4,4,144,0
BOLID,44,3,4232.85,2,1,2,212,1
BONAP,1,17,21963.2525,5,5,5,555,0
BOTTM,13,14,20801.6,4,5,5,455,0
BSBEV,23,10,6089.9,3,3,3,333,1
CACTU,9,6,1814.8,4,2,1,421,1
CENTC,658,1,100.8,1,1,1,111,2
CHOPS,15,8,12348.88,4,3,4,434,1
COMMI,15,5,3810.75,4,1,2,412,1
CONSH,104,3,1719.1,1,1,1,111,1
DRACD,3,6,3763.21,5,2,2,522,1
DUMON,80,4,1615.9,1,1,1,111,1
EASTC,9,8,14761.035,4,3,4,434,1
ERNSH,2,30,104874.9785,5,5,5,555,3
FAMIA,188,7,4107.55,1,2,2,122,1
FOLIG,136,5,11666.9,1,1,4,114,1
FOLKO,10,19,29567.5625,4,5,5,455,0
FRANK,28,15,26656.5595,3,5,5,355,0
FRANR,44,3,3172.1600000000003,2,1,2,212,1
FRANS,7,6,1545.7,5,2,1,521,1
FURIB,49,8,6427.4225,2,3,3,233,1
GALED,63,5,836.7,2,1,1,211,1
GODOS,16,10,11446.36,4,3,4,434,1
GOURL,13,9,8414.135,4,3,3,433,1
GREAL,7,11,18507.45,5,4,4,544,0
GROSR,140,2,1488.7,1,1,1,111,1
HANAR,10,14,32841.37,4,5,5,455,0
HILAA,9,18,22768.764,4,5,5,455,0
HUNGC,241,5,3063.2,1,1,2,112,1
HUNGO,7,19,49979.905,5,5,5,555,0
ISLAT,62,10,6146.3,2,3,3,233,1
KOENE,21,14,30908.384,3,5,5,355,0
LACOR,44,4,1992.05,2,1,1,211,1
LAMAI,10,14,9328.2,4,5,3,453,0
LAUGB,126,3,522.5,1,1,1,111,1
LAZYK,350,2,357.0,1,1,1,111,2
LEHMS,2,15,19261.41,5,5,4,554,0
LETSS,84,4,3076.4725,1,1,2,112,1
LILAS,2,14,16076.6,5,5,4,554,0
LINOD,16,12,16476.565,4,4,4,444,0
LONEP,24,8,4258.6,3,3,2,332,1
MAGAA,52,10,7176.215,2,3,3,233,1
MAISD,30,7,9736.075,3,2,3,323,1
MEREP,189,13,28872.19,1,4,5,145,0
MORGK,56,5,5042.200000000001,2,1,2,212,1
NORTS,8,3,649.0,5,1,1,511,1
OCEAN,38,5,3460.2,2,1,2,212,1
OLDWO,17,10,15177.4625,3,3,4,334,0
OTTIK,23,10,12496.2,3,3,4,334,1
PERIC,2,6,4242.2,5,2,2,522,1
PICCO,10,10,23128.86,4,3,5,435,0
PRINI,29,5,5044.9400000000005,3,1,2,312,1
QUEDE,37,9,6664.81,2,3,3,233,1
QUEEN,3,13,25717.4975,5,4,5,545,0
QUICK,23,28,110277.305,3,5,5,355,3
RANCH,24,5,2844.1,3,1,1,311,1
RATTC,1,18,51097.8005,5,5,5,555,0
REGGC,7,12,7048.24,5,4,3,543,0
RICAR,8,11,12450.8,5,4,4,544,0
RICSU,1,10,19343.779,5,3,4,534,0
ROMEY,28,5,1467.29,3,1,1,311,1
SANTG,27,6,5735.150000000001,3,2,3,323,1
SAVEA,6,31,104361.95,5,5,5,555,3
SEVES,92,9,16215.325,1,3,4,134,1
SIMOB,1,7,16817.0975,5,2,4,524,1
SPECD,15,4,2423.35,4,1,1,411,1
SPLIR,43,9,11441.63,2,3,3,233,1
SUPRD,16,12,24088.78,4,4,5,445,0
THEBI,36,4,3361.0,2,1,2,212,1
THECR,31,3,1947.24,2,1,1,211,1
TOMSP,45,6,4778.14,2,2,2,222,1
TORTU,3,10,10812.15,5,3,3,533,1
TRADH,108,6,6850.664,1,2,3,123,1
TRAIH,119,3,1571.2,1,1,1,111,1
VAFFE,35,11,15843.925,2,4,4,244,0
VICTE,104,10,9182.43,1,3,3,133,1
VINET,176,5,1480.0,1,1,1,111,1
WANDK,14,10,9588.425,4,3,3,433,1
WARTH,22,15,15648.7025,3,5,4,354,0
WELLI,59,9,6068.2,2,3,3,233,1
WHITC,6,14,27363.605,5,5,5,555,0
WILMK,30,7,3161.35,3,2,2,322,1
WOLZA,14,7,3531.95,4,2,2,422,1
